epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.9629,1.57108,2.73211,3.53978,1.19597,0.02075,0.53896,0.01713,0.009,0.02133,0.55411,0.01778,0.00921,1.07277,1.69967,3.44263,0.93913,0.00018,0.00018,0.00018
2,19.7112,1.16576,1.66843,2.40485,0.95152,0.033,0.85714,0.05898,0.0312,0.0345,0.8961,0.06393,0.03413,1.08826,1.65341,3.41724,0.943,0.00034238,0.00034238,0.00034238
3,22.3081,1.09373,1.49075,1.46371,0.92728,0.036,0.93506,0.06269,0.03696,0.03642,0.94589,0.06407,0.03767,0.98037,1.50495,3.32931,0.89063,0.00046516,0.00046516,0.00046516
4,24.8878,0.94444,1.3798,0.99962,0.89617,0.03742,0.97186,0.06217,0.04019,0.0375,0.97403,0.06205,0.0395,0.9344,1.373,3.19257,0.87059,0.00054834,0.00054834,0.00054834
5,27.5049,0.90489,1.35784,0.91146,0.89268,0.03792,0.98485,0.05578,0.03936,0.03792,0.98485,0.05602,0.03946,0.89062,1.29809,3.12937,0.85463,0.00059192,0.00059192,0.00059192
6,30.0599,0.84124,1.28712,0.87076,0.88968,0.03767,0.97835,0.06211,0.04655,0.03758,0.97619,0.06199,0.04365,0.84445,1.28747,3.0455,0.84703,0.0005959,0.0005959,0.0005959
7,32.5699,0.81492,1.25273,0.81818,0.87753,0.038,0.98701,0.64845,0.50457,0.03775,0.98052,0.6483,0.46943,0.81853,1.16301,2.89784,0.84567,0.00056028,0.00056028,0.00056028
8,35.0928,0.77838,1.15786,0.78048,0.87731,0.038,0.98701,0.84086,0.6483,0.03783,0.98268,0.84169,0.60271,0.82265,1.13609,2.75963,0.84786,0.00048506,0.00048506,0.00048506
9,37.6264,0.75939,1.14122,0.7677,0.86381,0.97346,0.7381,0.91239,0.70561,0.97346,0.7381,0.91213,0.66407,0.79857,1.04904,2.54317,0.84225,0.00037024,0.00037024,0.00037024
10,40.1577,0.74921,1.13501,0.76001,0.85951,0.99578,0.51018,0.93309,0.72973,0.99578,0.51018,0.93961,0.67206,0.78408,1.03188,2.31984,0.84465,0.00021582,0.00021582,0.00021582
