epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.05792,1.90771,2.80594,3.5429,1.24984,0.00375,0.09,0.00208,0.00114,0.005,0.12,0.00283,0.00138,1.51185,1.96484,3.56765,1.02969,8e-05,8e-05,8e-05
2,3.99712,1.56497,1.86915,3.08095,1.07513,0.03417,0.82,0.05103,0.02137,0.03542,0.85,0.05363,0.0278,1.3033,1.61063,3.4751,0.94055,0.00017109,0.00017109,0.00017109
3,5.9731,1.43838,1.68791,2.46443,0.9836,0.04,0.96,0.08743,0.04062,0.04,0.96,0.10331,0.04479,1.22126,1.60513,3.44294,0.90946,0.00025228,0.00025228,0.00025228
4,7.86149,1.40164,1.65732,1.81338,0.96991,0.04,0.96,0.06969,0.03291,0.04083,0.98,0.12701,0.05001,1.30663,1.67522,3.43414,0.92163,0.00032357,0.00032357,0.00032357
5,9.74167,1.35037,1.58048,1.45122,0.95725,0.04,0.96,0.05786,0.03316,0.04,0.96,0.11423,0.04975,1.16293,1.56077,3.4012,0.89452,0.00038496,0.00038496,0.00038496
6,11.5802,1.21038,1.44675,1.1257,0.94199,0.03958,0.95,0.05986,0.03377,0.04042,0.97,0.09497,0.04507,1.10502,1.73133,3.38673,0.88657,0.00043645,0.00043645,0.00043645
7,13.4676,1.20475,1.4836,0.98415,0.93479,0.04083,0.98,0.07023,0.04003,0.04083,0.98,0.14815,0.06017,1.0717,1.46476,3.32616,0.87504,0.00047804,0.00047804,0.00047804
8,15.3284,1.11382,1.42997,0.93302,0.92239,0.04042,0.97,0.08142,0.04052,0.04042,0.97,0.10513,0.05123,1.10369,1.4494,3.28202,0.87474,0.00050973,0.00050973,0.00050973
9,17.2082,1.06579,1.38976,0.8797,0.91344,0.03958,0.95,0.06174,0.0395,0.04042,0.97,0.06511,0.03997,1.01835,1.40396,3.25699,0.8643,0.00053152,0.00053152,0.00053152
10,19.0755,1.01021,1.32664,0.85246,0.90341,0.03958,0.95,0.06218,0.0412,0.04083,0.98,0.06415,0.04013,0.99187,1.41827,3.2224,0.85895,0.00054341,0.00054341,0.00054341
11,26.182,0.95761,1.29782,0.82266,0.88707,0.03917,0.94,0.05693,0.03845,0.04125,0.99,0.05964,0.03935,0.99069,1.33423,3.19096,0.86055,0.0005454,0.0005454,0.0005454
12,28.0558,0.96499,1.26109,0.84039,0.89669,0.04083,0.98,0.0564,0.03915,0.04125,0.99,0.05744,0.03915,0.94158,1.26693,3.12236,0.84543,0.00053749,0.00053749,0.00053749
