epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.3818,1.3491,2.02808,3.06867,0.98994,0.04533,0.88599,0.07998,0.03696,0.04575,0.89414,0.12745,0.04796,1.1428,1.79468,3.45281,0.89093,0.00038,0.00038,0.00038
2,107.949,1.18931,1.62991,1.5608,0.90443,0.0455,0.88925,0.07611,0.03506,0.04708,0.9202,0.12298,0.051,1.2656,1.71295,3.34216,0.92046,0.00070278,0.00070278,0.00070278
3,161.798,1.08011,1.56871,1.01012,0.8932,0.04825,0.943,0.52312,0.28787,0.04892,0.95603,0.52089,0.27721,1.22913,1.56725,3.10539,0.89101,0.00094636,0.00094636,0.00094636
4,215.465,0.98103,1.56627,0.92604,0.88903,0.04967,0.97068,0.53033,0.30998,0.04942,0.9658,0.52863,0.28708,0.95499,1.37282,2.93722,0.83877,0.00111074,0.00111074,0.00111074
5,269.441,0.89291,1.362,0.86879,0.87278,0.05008,0.97883,0.83142,0.59769,0.05033,0.98371,0.82086,0.51126,0.877,1.29066,2.47156,0.83428,0.00119592,0.00119592,0.00119592
6,322.817,0.90131,1.36744,0.83996,0.87903,0.99596,0.40137,0.92411,0.70695,0.99596,0.40137,0.92403,0.57154,0.8859,1.31577,2.07518,0.83818,0.00101,0.00101,0.00101
7,376.118,0.85481,1.31427,0.7959,0.8672,0.92332,0.86482,0.9637,0.78648,0.92332,0.86482,0.96366,0.64137,0.78674,1.18382,1.2754,0.82588,0.000812,0.000812,0.000812
8,430.005,0.77806,1.18475,0.74258,0.84598,0.90493,0.8991,0.96541,0.78163,0.9034,0.89861,0.96342,0.5984,0.77705,1.17427,1.00146,0.82444,0.000614,0.000614,0.000614
9,483.518,0.77522,1.17483,0.73315,0.8498,0.88972,0.92508,0.97167,0.79791,0.88972,0.92508,0.9705,0.62922,0.73366,1.10876,0.786,0.81682,0.000416,0.000416,0.000416
10,537.333,0.76408,1.12885,0.72053,0.84161,0.91022,0.90819,0.97279,0.80792,0.90727,0.90717,0.97145,0.6415,0.69735,1.10383,0.72565,0.81227,0.000218,0.000218,0.000218
