epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.67464,1.67886,2.53573,3.54668,1.11599,0.01725,0.33173,0.01527,0.00566,0.02233,0.42949,0.03192,0.0117,1.26225,1.92003,3.46004,0.89666,0.00018,0.00018,0.00018
2,10.4225,1.19746,1.6205,2.42351,0.90123,0.04642,0.89263,0.0867,0.03682,0.04725,0.90865,0.16953,0.06224,1.19127,1.94809,3.43384,0.87338,0.00034238,0.00034238,0.00034238
3,13.03,1.12616,1.49795,1.39322,0.87572,0.04833,0.92949,0.07138,0.03752,0.04867,0.9359,0.07261,0.03898,1.19597,1.75852,3.36785,0.87428,0.00046516,0.00046516,0.00046516
4,15.6833,1.01473,1.39283,0.98452,0.86601,0.05042,0.96955,0.07128,0.04036,0.05,0.96154,0.07036,0.03974,1.11256,1.5438,3.28052,0.84142,0.00054834,0.00054834,0.00054834
5,18.296,0.99489,1.42789,0.92914,0.86263,0.04992,0.95994,0.06259,0.03537,0.04983,0.95833,0.06219,0.03497,1.03509,1.57942,3.23596,0.82215,0.00059192,0.00059192,0.00059192
6,20.8888,0.91939,1.31965,0.87296,0.85475,0.04692,0.90224,0.12945,0.08353,0.04733,0.91026,0.13162,0.07759,1.05992,1.62515,3.09423,0.82171,0.0005959,0.0005959,0.0005959
7,23.4651,0.89102,1.28639,0.81083,0.85251,0.04933,0.94872,0.67596,0.42716,0.0495,0.95192,0.66945,0.41114,1.01571,1.43237,2.94626,0.81665,0.00056028,0.00056028,0.00056028
8,26.0574,0.82021,1.20261,0.77464,0.84153,0.05067,0.97436,0.85872,0.55522,0.05058,0.97276,0.84545,0.49923,0.99884,1.37269,2.7678,0.81465,0.00048506,0.00048506,0.00048506
9,28.6461,0.81297,1.18047,0.74909,0.83512,0.97716,0.54849,0.92945,0.60824,0.97145,0.54528,0.91711,0.55314,0.94453,1.26523,2.5655,0.80972,0.00037024,0.00037024,0.00037024
10,31.2361,0.82278,1.1766,0.74987,0.83755,0.9737,0.53388,0.93251,0.60875,0.97035,0.53205,0.92286,0.55338,0.96004,1.224,2.33188,0.8111,0.00021582,0.00021582,0.00021582
