epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.83048,1.44972,1.97386,3.43703,1.04072,0.02358,0.50088,0.02063,0.01118,0.027,0.57345,0.02525,0.01309,1.05307,1.25748,3.45118,0.86844,0.00018,0.00018,0.00018
2,10.5512,1.11122,1.30103,2.01777,0.89231,0.04592,0.97522,0.09648,0.05787,0.04617,0.98053,0.1016,0.05806,1.0058,1.15114,3.41896,0.84721,0.00034238,0.00034238,0.00034238
3,13.1595,1.02127,1.18097,1.12984,0.86694,0.046,0.97699,0.10759,0.06577,0.04608,0.97876,0.10824,0.06594,0.93996,1.14939,3.37478,0.83713,0.00046516,0.00046516,0.00046516
4,15.7705,0.93751,1.1209,0.88985,0.86621,0.04608,0.97876,0.10131,0.05677,0.04608,0.97876,0.10083,0.05139,0.97008,1.17684,3.34495,0.83927,0.00054834,0.00054834,0.00054834
5,18.3716,0.93679,1.12008,0.84844,0.86522,0.04625,0.9823,0.08012,0.05407,0.0465,0.98761,0.08041,0.05105,0.86933,1.16467,3.23695,0.82524,0.00059192,0.00059192,0.00059192
6,20.9438,0.86359,1.04138,0.79704,0.8565,0.04642,0.98584,0.07757,0.05207,0.0465,0.98761,0.07764,0.04893,0.90005,1.08647,3.12433,0.82779,0.0005959,0.0005959,0.0005959
7,23.4628,0.85644,0.99307,0.77043,0.85348,0.0465,0.98761,0.37247,0.28329,0.04675,0.99292,0.37363,0.24921,0.8298,0.9922,2.98659,0.81649,0.00056028,0.00056028,0.00056028
8,26.0132,0.82631,0.95867,0.73181,0.85666,0.04667,0.99115,0.78242,0.56378,0.04658,0.98938,0.78118,0.48986,0.87527,0.97791,2.81919,0.82269,0.00048506,0.00048506,0.00048506
9,28.5615,0.80761,0.9833,0.70465,0.84588,0.99146,0.61666,0.91401,0.67113,0.99146,0.61666,0.91308,0.62783,0.79939,0.90747,2.58151,0.80869,0.00037024,0.00037024,0.00037024
10,31.0995,0.79256,0.97496,0.69834,0.83502,1,0.47131,0.951,0.70266,1,0.47131,0.94928,0.61266,0.79892,0.88847,2.3364,0.81271,0.00021582,0.00021582,0.00021582
