epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.7397,1.75353,2.32559,3.08492,1.02696,0.05433,0.88347,0.0758,0.03248,0.05675,0.92276,0.11273,0.04557,1.38364,1.9355,3.5079,0.86429,0.00038,0.00038,0.00038
2,122.678,1.45304,1.77053,1.40871,0.92086,0.05792,0.94173,0.06554,0.03053,0.05842,0.94986,0.06558,0.03434,1.3777,1.853,3.38641,0.85888,0.00070278,0.00070278,0.00070278
3,183.897,1.28557,1.62209,1.027,0.89459,0.05142,0.83604,0.04954,0.02315,0.05242,0.8523,0.05066,0.02603,1.27919,1.66986,3.21075,0.84242,0.00094636,0.00094636,0.00094636
4,245.013,1.22175,1.59445,0.95191,0.89115,0.03908,0.6355,0.14175,0.07027,0.04242,0.6897,0.16037,0.07645,1.2159,1.65747,2.95889,0.83225,0.00111074,0.00111074,0.00111074
5,305.889,1.22152,1.50573,0.91474,0.88251,0.87356,0.67344,0.82551,0.37774,0.88235,0.68022,0.84038,0.39839,1.28242,1.52118,2.411,0.84561,0.00119592,0.00119592,0.00119592
6,365.866,1.21066,1.41597,0.85717,0.88346,0.94199,0.59412,0.93361,0.5316,0.94629,0.59683,0.93575,0.52482,1.22074,1.40722,1.86018,0.8389,0.00101,0.00101,0.00101
7,425.976,1.16303,1.37697,0.82628,0.87097,0.91242,0.91057,0.96515,0.62581,0.90835,0.9065,0.96165,0.50389,1.13145,1.42291,1.2647,0.83182,0.000812,0.000812,0.000812
8,485.804,1.15422,1.39201,0.80584,0.86428,0.91381,0.94309,0.96926,0.67937,0.91056,0.93809,0.96768,0.52879,1.03705,1.36555,1.00487,0.82509,0.000614,0.000614,0.000614
9,546.8,1.01755,1.30261,0.7614,0.85902,0.91977,0.94444,0.97317,0.71197,0.91713,0.94173,0.97274,0.53068,0.99385,1.35489,0.82094,0.82325,0.000416,0.000416,0.000416
10,602.89,1.03258,1.32904,0.75832,0.85138,0.91893,0.9458,0.9743,0.71967,0.91704,0.94038,0.9738,0.53828,0.97228,1.34006,0.75322,0.82037,0.000218,0.000218,0.000218
