epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8729,1.989,2.75202,3.65242,1.18522,0.01117,0.1997,0.00711,0.00347,0.01342,0.23994,0.009,0.00449,1.36795,1.68631,3.48695,0.8985,0.00018,0.00018,0.00018
2,25.0266,1.24155,1.59368,2.40304,0.88933,0.05025,0.89866,0.106,0.04574,0.05142,0.91952,0.1105,0.05526,1.31347,1.7228,3.46231,0.91575,0.00034238,0.00034238,0.00034238
3,27.8276,1.15124,1.40261,1.33164,0.8636,0.05225,0.93443,0.10049,0.04655,0.05317,0.95082,0.10291,0.05832,1.31738,1.5732,3.40005,0.8961,0.00046516,0.00046516,0.00046516
4,30.5908,1.06551,1.34255,0.95335,0.8519,0.05475,0.97914,0.09391,0.05153,0.05492,0.98212,0.0953,0.05244,1.0525,1.32719,3.33885,0.81713,0.00054834,0.00054834,0.00054834
5,33.36,1.09836,1.31208,0.91169,0.86202,0.0515,0.92101,0.06198,0.02428,0.05183,0.92697,0.0614,0.02523,1.31196,1.43925,3.35378,0.85398,0.00059192,0.00059192,0.00059192
6,36.1358,0.97815,1.2307,0.83957,0.84472,0.05408,0.96721,0.06328,0.03717,0.05408,0.96721,0.063,0.03424,1.00848,1.37735,3.20187,0.81598,0.0005959,0.0005959,0.0005959
7,38.8796,0.90473,1.1489,0.78708,0.83884,0.05342,0.95529,0.46942,0.27494,0.0535,0.95678,0.46459,0.23595,1.13247,1.60772,3.06526,0.82712,0.00056028,0.00056028,0.00056028
8,41.6345,0.84118,1.06424,0.73687,0.83416,0.05467,0.97765,0.75451,0.50112,0.05508,0.9851,0.75257,0.40339,0.99189,1.23789,2.85461,0.8058,0.00048506,0.00048506,0.00048506
9,44.3825,0.82037,1.05569,0.69737,0.8186,0.05483,0.98063,0.86155,0.56132,0.05475,0.97914,0.8541,0.42208,0.98058,1.30312,2.69428,0.80457,0.00037024,0.00037024,0.00037024
10,47.145,0.81131,1.0466,0.70694,0.82342,0.99223,0.38076,0.92138,0.63516,0.99223,0.38076,0.92176,0.52337,0.88591,1.19271,2.43509,0.79716,0.00021582,0.00021582,0.00021582
