epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.79593,2.33541,3.66364,3.70105,1.45564,0.00892,0.16589,0.00535,0.0025,0.00925,0.17209,0.00561,0.00265,1.68227,2.5984,3.53065,1.07953,0.00018,0.00018,0.00018
2,12.7039,1.70344,2.3255,2.60889,1.08995,0.04283,0.7969,0.05269,0.02245,0.04275,0.79535,0.0716,0.02858,1.53696,2.39969,3.44219,1.02674,0.00034238,0.00034238,0.00034238
3,15.4845,1.51431,1.98353,1.64453,0.99235,0.03433,0.63876,0.03234,0.01291,0.03825,0.71163,0.06113,0.02385,1.612,2.66576,3.40651,1.07062,0.00046516,0.00046516,0.00046516
4,18.3032,1.37296,1.82981,1.15592,0.9646,0.04392,0.81705,0.04135,0.02158,0.04508,0.83876,0.04324,0.02131,1.38463,2.06365,3.2786,0.94424,0.00054834,0.00054834,0.00054834
5,21.0882,1.33939,1.83017,1.06939,0.95575,0.04233,0.7876,0.03955,0.01978,0.04367,0.8124,0.04179,0.02154,1.2122,1.82861,3.23997,0.89007,0.00059192,0.00059192,0.00059192
6,23.8843,1.25223,1.73157,1.00324,0.9518,0.04542,0.84496,0.09292,0.05553,0.04642,0.86357,0.09525,0.05632,1.21837,1.77041,3.10365,0.8955,0.0005959,0.0005959,0.0005959
7,26.7075,1.16679,1.67621,0.95174,0.92613,0.05067,0.94264,0.67826,0.40012,0.05042,0.93798,0.67663,0.36974,1.20101,1.73403,2.93318,0.88698,0.00056028,0.00056028,0.00056028
8,29.4724,1.11088,1.56277,0.8955,0.91788,0.05125,0.95349,0.84663,0.49743,0.05075,0.94419,0.83533,0.48085,1.16719,1.61077,2.79876,0.87735,0.00048506,0.00048506,0.00048506
9,32.2332,1.08684,1.54467,0.86638,0.90881,0.94218,0.7327,0.90558,0.55572,0.93421,0.7265,0.89941,0.53049,1.12518,1.58645,2.5786,0.86599,0.00037024,0.00037024,0.00037024
10,34.9865,1.05923,1.49885,0.84914,0.8924,0.99273,0.42342,0.92543,0.5848,0.9891,0.42187,0.92125,0.53639,1.08396,1.52555,2.34729,0.86221,0.00021582,0.00021582,0.00021582
