epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.46648,1.48562,2.38533,3.52411,1.09392,0.01317,0.27526,0.00913,0.00545,0.01467,0.30662,0.01059,0.0062,1.04648,1.5029,3.42789,0.89063,0.00018,0.00018,0.00018
2,11.6551,1.05431,1.40227,2.29132,0.88844,0.04625,0.9669,0.07676,0.04751,0.04625,0.9669,0.07724,0.04737,0.96559,1.24174,3.41008,0.86353,0.00034238,0.00034238,0.00034238
3,14.3973,0.97516,1.27082,1.31505,0.87524,0.04633,0.96864,0.0752,0.04616,0.04592,0.95993,0.07388,0.04446,0.94531,1.21962,3.35888,0.85367,0.00046516,0.00046516,0.00046516
4,17.0076,0.89588,1.17287,0.96403,0.86572,0.04717,0.98606,0.07599,0.04916,0.04733,0.98955,0.07679,0.04947,0.9537,1.18071,3.26048,0.85257,0.00054834,0.00054834,0.00054834
5,19.6297,0.91602,1.18798,0.90121,0.86768,0.04725,0.9878,0.0649,0.04282,0.04733,0.98955,0.06514,0.04132,0.89611,1.05585,3.22125,0.84202,0.00059192,0.00059192,0.00059192
6,22.2117,0.78497,1.11107,0.82773,0.84739,0.04742,0.99129,0.06959,0.04842,0.04717,0.98606,0.06998,0.04974,0.80538,1.00504,3.12073,0.824,0.0005959,0.0005959,0.0005959
7,24.7527,0.76689,1.06071,0.79354,0.85282,0.04725,0.9878,0.32144,0.24442,0.04733,0.98955,0.32325,0.23081,0.77551,1.01365,2.9782,0.82038,0.00056028,0.00056028,0.00056028
8,27.2862,0.69016,0.94614,0.72954,0.83266,0.04692,0.98084,0.82541,0.62701,0.04717,0.98606,0.82625,0.57609,0.76014,0.95041,2.78757,0.81896,0.00048506,0.00048506,0.00048506
9,29.8555,0.68931,0.95835,0.71227,0.8364,0.9865,0.63639,0.91811,0.70888,0.9892,0.63813,0.91746,0.65352,0.72809,0.90704,2.58545,0.81733,0.00037024,0.00037024,0.00037024
10,32.4135,0.68555,0.94075,0.71188,0.83138,0.99609,0.44346,0.93885,0.73584,0.99609,0.44346,0.94247,0.65075,0.70535,0.87199,2.32457,0.81582,0.00021582,0.00021582,0.00021582
