epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.62037,1.49339,2.28713,3.54973,1.09947,0.02542,0.59109,0.02296,0.0121,0.02742,0.6376,0.02542,0.01339,1.14922,1.42788,3.4372,0.90113,0.00018,0.00018,0.00018
2,10.3238,1.12472,1.40634,2.28708,0.90336,0.04133,0.96124,0.08799,0.04832,0.04167,0.96899,0.08851,0.05041,1.0801,1.44552,3.41642,0.8807,0.00034238,0.00034238,0.00034238
3,12.9123,1.04298,1.30544,1.26996,0.88056,0.042,0.97674,0.09048,0.05554,0.04183,0.97287,0.09,0.05511,0.99108,1.44614,3.34779,0.85441,0.00046516,0.00046516,0.00046516
4,15.4901,0.93651,1.22549,0.90944,0.87239,0.04267,0.99225,0.07928,0.05199,0.04258,0.99031,0.07949,0.04984,1.01354,1.29818,3.25037,0.84603,0.00054834,0.00054834,0.00054834
5,18.0681,0.89819,1.2137,0.83864,0.86378,0.04283,0.99612,0.07817,0.05162,0.04267,0.99225,0.07819,0.05013,0.95291,1.18403,3.19011,0.84625,0.00059192,0.00059192,0.00059192
6,20.6287,0.81967,1.10755,0.79552,0.85271,0.04275,0.99419,0.19089,0.14103,0.04258,0.99031,0.19088,0.13459,0.87044,1.12476,3.08808,0.83027,0.0005959,0.0005959,0.0005959
7,23.1569,0.77916,1.09528,0.76229,0.84997,0.04275,0.99419,0.78513,0.59631,0.04275,0.99419,0.78517,0.53624,0.82799,1.04389,2.8937,0.82777,0.00056028,0.00056028,0.00056028
8,25.6884,0.74955,1.01861,0.72235,0.84653,0.04275,0.99419,0.92134,0.67573,0.04283,0.99612,0.92188,0.62473,0.84815,1.031,2.71165,0.82398,0.00048506,0.00048506,0.00048506
9,28.2241,0.7348,1.02869,0.69469,0.84664,1,0.57084,0.95313,0.73961,1,0.57084,0.95362,0.65797,0.77328,0.99273,2.51735,0.81553,0.00037024,0.00037024,0.00037024
10,30.7464,0.73026,1.03547,0.69263,0.83624,1,0.63532,0.97166,0.73677,1,0.63532,0.97301,0.64609,0.78434,0.99289,2.21977,0.82003,0.00021582,0.00021582,0.00021582
