epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.1983,1.57781,2.17426,3.61386,1.04374,0.00292,0.05932,0.00155,0.00055,0.00417,0.08475,0.00226,0.00095,1.25799,1.49955,3.57918,0.89986,8e-05,8e-05,8e-05
2,4.29916,1.18421,1.41286,3.2152,0.8963,0.03042,0.61864,0.03675,0.01347,0.03375,0.68644,0.05524,0.02673,1.12777,1.41635,3.52265,0.87383,0.00017109,0.00017109,0.00017109
3,6.39216,1.15792,1.45424,2.56329,0.88501,0.04625,0.94068,0.07306,0.03614,0.04583,0.9322,0.09229,0.03672,1.18729,1.59733,3.50698,0.85619,0.00025228,0.00025228,0.00025228
4,8.39476,1.17577,1.37664,1.81315,0.88026,0.04708,0.95763,0.07569,0.03901,0.04708,0.95763,0.07893,0.04205,1.04696,1.38032,3.48679,0.83383,0.00032357,0.00032357,0.00032357
5,10.4772,1.07028,1.27571,1.41803,0.85871,0.04708,0.95763,0.07553,0.03905,0.04625,0.94068,0.08163,0.04141,1.13009,1.54901,3.45756,0.8533,0.00038496,0.00038496,0.00038496
6,12.5028,1.0183,1.28203,1.11236,0.86279,0.04708,0.95763,0.07505,0.03873,0.04667,0.94915,0.07254,0.03486,1.13451,1.5134,3.43175,0.85099,0.00043645,0.00043645,0.00043645
7,14.5221,1.00935,1.31222,0.95874,0.85536,0.0475,0.9661,0.0809,0.04714,0.04792,0.97458,0.08006,0.04437,1.09568,1.40449,3.36743,0.83804,0.00047804,0.00047804,0.00047804
8,16.5527,0.92511,1.17965,0.86405,0.85866,0.04792,0.97458,0.07906,0.0462,0.04708,0.95763,0.07628,0.04188,1.0566,1.53306,3.34678,0.83734,0.00050973,0.00050973,0.00050973
9,18.5485,0.83494,1.11122,0.79293,0.84707,0.04708,0.95763,0.07452,0.04205,0.0475,0.9661,0.07573,0.04368,1.07449,1.49018,3.32505,0.83753,0.00053152,0.00053152,0.00053152
10,20.4551,0.85876,1.0905,0.79938,0.84877,0.04708,0.95763,0.07192,0.04185,0.0475,0.9661,0.07224,0.03938,1.02218,1.34575,3.31218,0.83085,0.00054341,0.00054341,0.00054341
11,27.5718,0.84048,1.0283,0.77659,0.84574,0.04708,0.95763,0.06827,0.04304,0.0475,0.9661,0.06739,0.04028,0.97808,1.34382,3.25654,0.82471,0.0005454,0.0005454,0.0005454
12,29.4796,0.78665,1.01495,0.74439,0.8426,0.04667,0.94915,0.0761,0.04773,0.0475,0.9661,0.07588,0.04856,0.91003,1.35196,3.20376,0.82121,0.00053749,0.00053749,0.00053749
13,31.2804,0.78607,0.98722,0.74538,0.82994,0.0475,0.9661,0.11811,0.08162,0.04792,0.97458,0.12529,0.07895,0.92834,1.26148,3.16345,0.82328,0.00051968,0.00051968,0.00051968
14,33.1001,0.82716,1.07302,0.75098,0.83494,0.04792,0.97458,0.32716,0.22904,0.0475,0.9661,0.3338,0.19232,1.04634,1.50502,3.07488,0.83105,0.00049197,0.00049197,0.00049197
15,34.9225,0.77083,0.97572,0.72892,0.83449,0.04792,0.97458,0.58029,0.41837,0.04833,0.98305,0.5846,0.37774,0.91582,1.30509,2.9873,0.81903,0.00045436,0.00045436,0.00045436
16,36.7581,0.74764,0.9489,0.70759,0.82215,0.04792,0.97458,0.67728,0.47784,0.04833,0.98305,0.6787,0.44481,0.93183,1.21102,2.94803,0.82292,0.00040685,0.00040685,0.00040685
17,38.5893,0.73386,0.96613,0.70405,0.82564,0.04792,0.97458,0.77469,0.54936,0.04917,1,0.77582,0.47921,0.85181,1.18481,2.82127,0.81188,0.00034944,0.00034944,0.00034944
18,40.3958,0.70378,0.89964,0.68105,0.82781,0.08062,0.88983,0.82606,0.58064,0.08062,0.88983,0.82704,0.48612,0.87463,1.1686,2.74017,0.81396,0.00028213,0.00028213,0.00028213
19,42.1866,0.68996,0.85536,0.67012,0.82319,1,0.51973,0.86264,0.60617,1,0.51973,0.86328,0.5083,0.87358,1.15804,2.66099,0.81527,0.00020492,0.00020492,0.00020492
20,44.0178,0.73458,0.922,0.68281,0.82302,1,0.27839,0.89461,0.64264,1,0.28397,0.89588,0.54388,0.83516,1.11607,2.48514,0.81438,0.00011781,0.00011781,0.00011781
