epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.3989,1.60143,2.25298,4.44806,1.06611,0.02716,0.15823,0.02521,0.00749,0.03337,0.22457,0.03043,0.01126,1.18218,1.57747,4.51809,0.88301,0.00018009,0.00018009,0.00018009
2,67.9568,1.27944,1.52371,2.77965,0.90886,0.03536,0.36077,0.11156,0.04844,0.04078,0.4306,0.12548,0.05966,1.15899,1.50041,4.30013,0.87512,0.000330532,0.000330532,0.000330532
3,86.8882,1.17685,1.4036,1.72,0.90113,0.04399,0.72143,0.48337,0.28645,0.04605,0.7484,0.48796,0.27127,1.15888,1.38815,3.91576,0.86701,0.000443995,0.000443995,0.000443995
4,105.837,1.05298,1.32,1.31078,0.88646,0.05904,0.98464,0.80813,0.50355,0.05874,0.98019,0.79816,0.42759,1.20531,1.43073,2.8932,0.88643,0.000468901,0.000468901,0.000468901
5,124.81,0.9992,1.27757,1.09722,0.8832,0.92436,0.59607,0.93207,0.66734,0.92249,0.59475,0.93081,0.57742,0.95889,1.24524,1.86349,0.85203,0.000402868,0.000402868,0.000402868
6,143.68,0.94621,1.24268,0.96479,0.86951,0.86779,0.89871,0.9566,0.67774,0.86607,0.89671,0.95292,0.56329,1.00129,1.329,1.1154,0.85847,0.000336835,0.000336835,0.000336835
7,162.213,0.89593,1.17928,0.88808,0.86206,0.88722,0.92314,0.96949,0.74802,0.88663,0.9196,0.96714,0.62196,0.83487,1.17016,0.79867,0.83754,0.000270802,0.000270802,0.000270802
8,178.492,0.84194,1.11672,0.83847,0.85381,0.9191,0.92047,0.97053,0.75953,0.91728,0.91854,0.96797,0.63778,0.80714,1.15577,0.70815,0.83588,0.000204769,0.000204769,0.000204769
9,197.895,0.84377,1.11993,0.8115,0.85523,0.9318,0.9213,0.97403,0.76443,0.93044,0.91942,0.97182,0.64328,0.8005,1.12585,0.64964,0.83444,0.000138736,0.000138736,0.000138736
10,216.931,0.8084,1.08513,0.77119,0.84811,0.93322,0.91961,0.97575,0.77406,0.93059,0.91694,0.97401,0.64562,0.76866,1.12043,0.64322,0.83128,7.2703e-05,7.2703e-05,7.2703e-05
